	id	score
0	6439861.0	-0.4973927714285714
1	6439864.0	-0.8576283333333333
2	6439865.0	-0.134628
3	6439866.0	-0.6809182
4	6439868.0	-0.8060326
5	6439871.0	-0.8201018333333333
6	6439874.0	-0.29937033333333335
7	6439875.0	-0.516417
8	6439878.0	-0.3126705230769231
9	6439879.0	-0.199304
10	6439881.0	-0.5207295
11	6439882.0	-0.7606496428571428
12	6439883.0	-0.034526111111111105
13	6439885.0	-0.209402
14	6439886.0	-0.485724875
15	6439887.0	-0.4299065333333333
16	6439888.0	-0.23655956666666667
17	6439889.0	-0.48557748153508773
18	6439890.0	-0.46448825000000005
19	6439892.0	-0.7282129642857142
20	6439894.0	-0.4340897
21	6439895.0	-0.992534
22	6439898.0	-0.33855126666666663
23	6439900.0	-0.134628
24	6439901.0	-0.4839949666666667
25	6439902.0	-0.227182
26	6439903.0	-0.3722400444444445
27	6439905.0	-0.54664475
28	6439906.0	-0.6485991538461539
29	6439908.0	-0.5435784888888888
30	6439909.0	-0.6538895454545455
31	6439910.0	-0.199304
32	6439911.0	-0.580111
33	6439914.0	-0.5569453789473684
34	6439915.0	-0.25217900000000004
35	6439916.0	-0.9097485000000001
36	6439917.0	-0.5765456666666666
37	6439918.0	-0.47092771428571434
38	6439919.0	-0.6293297181818182
39	6439920.0	-0.6543281841875
40	6439922.0	-0.42421333333333333
41	6439927.0	-0.984295
42	6439928.0	-0.5693766998039216
43	6439930.0	0.19035924999999998
44	6439931.0	-0.559068448
45	6439932.0	-0.29886080909090906
46	6439933.0	-0.38259433444444446
47	6439934.0	-0.748833923076923
48	6439935.0	-0.45901566666666666
49	6439938.0	-0.5590276107142856
50	6439939.0	0.999995
51	6439942.0	-0.877966
52	6439943.0	-0.4589756875
53	6439944.0	-0.4463300571428571
54	6439945.0	-0.5184835
55	6439946.0	-0.2822945333333333
56	6439949.0	-0.44244275
57	6439950.0	-0.7033996333333333
58	6439951.0	-0.763962625
59	6439952.0	-0.6757142166666666
60	6439954.0	-0.99305
61	6439959.0	-0.6557133703703704
62	6439961.0	0.13389169999999997
63	6439963.0	-0.5669612049999999
64	6439964.0	-0.5937386666666667
65	6439965.0	-0.4380083166666666
66	6439966.0	-0.6603493
67	6439967.0	-0.5761024454545455
68	6439970.0	-0.7547422666666667
69	6439972.0	-0.886762
70	6439973.0	-0.5872316923076923
71	6439974.0	-0.56331525
72	6439977.0	-0.4968252352941176
73	6439979.0	-0.4580604615384616
74	6439980.0	-0.5539425
75	6439981.0	-0.03901099999999998
76	6439982.0	-0.4808415200000001
77	6439983.0	-0.56724705
78	6439984.0	-0.500083
79	6439986.0	-0.4281665
80	6439987.0	-0.488391
81	6439988.0	-0.5962226923076923
82	6439989.0	-0.6883089166666667
83	6439990.0	-0.5582211935483871
84	6439991.0	-0.620329536
85	6439992.0	-0.686904
86	6439993.0	-0.6080528199999999
87	6439994.0	-0.48201827619047616
88	6439995.0	-0.5968485
89	6439996.0	-0.40889755
90	6439998.0	-0.435984
91	6439999.0	-0.583152
92	6440000.0	-0.553633045
93	6440002.0	-0.28482519999999995
94	6440004.0	-0.4529392
95	6440007.0	-0.6191953636363636
96	6440009.0	-0.6012205
97	6440010.0	-0.6616582857142858
98	6440011.0	-0.6399984545454546
99	6440012.0	-0.6353176857142857
100	6440013.0	-0.5442323454545455
