,category_id,time,家族,出産,子供,健康,私,お金
0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2,11.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
5,14.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,14.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
9,14.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
10,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
11,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
12,11.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
13,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
14,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
15,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
16,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
17,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
18,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
19,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
20,14.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
21,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
22,99.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
23,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
24,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
25,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
26,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
27,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
28,14.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
29,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
30,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
