,id,score,content,time,watashi,danna,kodomo,oya,子供,旦那,私,親
0,6439861.0,-0.4973927714285714,3歳の子供がまだ起きてます😫 夫と二人でカウントダウン予定が寝かしつけー。 幼児で、こんな夜中におきてるおうちありますか？,0,,,,,1.0,1.0,0.0,0.0
1,6439866.0,-0.6809182,明けましておめでとうございます！ 私は授乳中、旦那は別室でビール飲みながらテレビ！！,0,,,,,0.0,1.0,1.0,0.0
2,6439868.0,-0.8060326,子供泣いても無視 格闘技に夢中になりやがって本当にむかつく こっちは好きなテレビも見れないのに 本当に結婚相手間違ったわくそだんな,0,,,,,1.0,0.0,0.0,0.0
3,6439871.0,-0.8201018333333333,あけましておめでとうございます😂  毎日座椅子で寝てる方いますか？？ 食後6時間の今も胃の方から上がってきて全然寝れません〜(T_T)いいなぁ旦那は…遊び回れて😭,0,,,,,0.0,1.0,0.0,0.0
4,6439874.0,-0.2993703333333333,めっちゃ関係ないんですが娘の笑顔可愛くないですか☺︎💜 顔ポヨポヨ…笑,0,,,,,1.0,0.0,0.0,0.0
5,6439875.0,-0.516417,あけましておめでとうございます💗  今年もママリでよろしくお願いします🙇‍♀️,0,,,,,0.0,0.0,1.0,0.0
6,6439878.0,-0.3126705230769231,出ました今年も、フライングおせち。自宅で留守番の夫からライン、「おせち食べようかな」。ほんと自由だな～(笑)  でもさきほどの投稿によると地域によっては早いところもあるそうで！夫がやばいやつだと思ってたのは改めます( •̀ᄇ• ́)ﻭ✧,0,,,,,0.0,1.0,0.0,0.0
7,6439881.0,-0.5207295,ママリ見てたら年明けた！  🎍happy.*new.･ﾟyear~*°.🎍~💕,0,,,,,0.0,0.0,1.0,0.0
8,6439883.0,-0.0345261111111111,あけましておめでとうございます🤗 みなさん今年叶ってほしい願い事ってありますか？良かったら教えてください😊   私の願いは、兄夫婦の所に赤ちゃんがやってきますように…,0,,,,,0.0,1.0,1.0,0.0
9,6439888.0,-0.2365595666666666,帰ってきたのべろべろで0時過ぎでした🙌🏻カウントダウン気にしない人もいるのわかってるけど、なんかもういいやってなっちゃった私は心狭いですか？平凡な毎日で、1年に１回の大切な日だったのに。一瞬にして別れたくなった。,0,,,,,0.0,0.0,1.0,0.0
