,id,score,content,time,家族,出産,子供,健康,私,お金
0,6439866.0,0.0,明けましておめでとうございます！ 私は授乳中、旦那は別室でビール飲みながらテレビ！！,0,1,1,0,0,1,0
1,6439871.0,0.0,あけましておめでとうございます😂  毎日座椅子で寝てる方いますか？？ 食後6時間の今も胃の方から上がってきて全然寝れません〜(T_T)いいなぁ旦那は…遊び回れて😭,0,1,0,1,0,0,0
2,6439883.0,0.0,あけましておめでとうございます🤗 みなさん今年叶ってほしい願い事ってありますか？良かったら教えてください😊   私の願いは、兄夫婦の所に赤ちゃんがやってきますように…,0,1,0,1,0,1,0
3,6439889.0,0.0,未婚シングルマザーの24歳です。実家で、シングルマザーで３人の子どもを育てた母と同居しています。 現在息子は６ヶ月で、私は育休中です。  あまり例のないことだとは思いますが少し意見が聞きたいと思い投稿しました。 長い文章で読みづらいと思いますが良ければお付き合いください。  息子の父親にあたる人は23歳で付き合っていた当初から２人の子供が欲しい、できたら嬉しいと言われていて名前まで決めていました。 そこに今の息子ができ、最初は一緒に育てると言われていたのですが妊娠発覚後１ヶ月経ったくらいから「やっぱり俺に父親になれる自信がない、堕ろして欲しい」と言われました。 私は彼に対して「絶対後で後悔すると思うから、まずは一緒に育ててみればいいじゃん。どうしてもムリならあとで離婚したっていいんだし。」と説得しましたが応じず無理の一点張りでした。 ですが私は子どもが大好きですし、世の中不妊治療をしても授かれない方がたくさんいるのも知っています。子どもができたことが幸せで奇跡なことも知っています。それにこんな私を選んで私のところに来てくれた子どもに対してそんな残酷な選択なんてできませんでした。 堕ろすという選択なんて私の中には最初からありませんでした。 堕ろすくらいなら一人で産んで育てると覚悟し、彼と彼の両親と私の母とも話し合い、認知届けを出し養育費をもらうことで話はまとまりました。 本当はお金もいらないくらい関わりたくなかったのですが離婚経験者の友人や先輩などから子どものためにもお金はいくらあったって良いんだから、もらえるものはもらっとけと言われ受け取っています。  この時点で私には母の助けを借りることになりますが、未婚のシングルで幸せになると決意していたのです。 母もシングルで子ども（私の弟と妹）もみんな出ていて、彼氏もいないですし、今後１人になるのは心配だったのもあります。 なので毎日、母と私と息子で３人で楽しく暮らしていました。   彼は私の前の前に付き合っていた女性と私と別れた後すぐに復縁しているそうです。   そこに突然１２月の中旬にプレゼントがあるから会いたいと言われ、気が進まなかったのですが一応養育費ももらっているし、私としては息子の物心着く前までなら会わせてあげて自分がどれだけ愚かな選択をしたのか分かればいいと思い会いました。 （実家に来てもらうかたちで20分くらいです）  その時はすぐ帰りましたが、後日また連絡が来ました。 12月末に会いたいと。 私は本当に会いたくなかったですが、やはり息子の父親だということには変わりないので、仕方なく会いました。 こんなことが今後続くのも嫌でしたし「今後会わせるなら物心着く前まで」ということも伝えようと思ったのです。  そしたら帰りに少し２人で話したいと言われ、復縁を迫られました。 私の気持ち的にはやっぱりどう考えても一度投げ出しといて、ほかに女も作ってる人と戻りたいとは思えず、これから取ろうとしている資格もありますし、何より今が凄く幸せなので無理だと伝えました。ただ、息子の父親ではあるから息子のことを考えるとわからないとも言いました。  彼が帰った後、私の母とも話し合い、「彼は彼なりに考えて後悔してるんだと思う、少し遅いけど。やっぱり男の子に父親がいないのはどうなんだろう」ということで良く考えてから決めなさいと言われました。  母が今は主としているこの家庭を私が今後は主としていこうと考えており（持ち家ですがマンションでローンを組んでいるので、家賃や光熱費、食費や全てのことです。今は育休中なので母が少し家にお金入れてくれてれば良いよとのことなのでお言葉に甘えています。）特に家を出ることも考えていません。 世間からしたら甘い考えでシングルマザーをやっていると思われるかもしれませんが。   今の環境に満足しています。 この幸せを壊して欲しくないです。 一番信じて頼りにしたかった妊娠中に裏切られ、私から離れていった人です。 もう一度、私と息子を支えていくチャンスが欲しいと言われました。 私にはそれは彼が 自分のことしか考えていないように感じます。実際、先日久し振りに息子と私に会って（産院で会っているので）、幸せな空間に自分がいないことがなんでなんだろうと後悔した、と言われました。 本当に私と息子のことを考えているのであればもう目の前に現れないで欲しい、息子が大きくなり自分の父親のことを知りたいと思った時に会ってくれれば良いと思うのです。  子どもは繊細です。子どものことを思って復縁したとしても私の彼に対する気持ちが０ならきっとそれを見破ると思うのです。 仮面夫婦で一緒に育てるのと片親だけど親子仲良しで毎日笑顔に溢れている中で育てるのだとどちらが幸せなのでしょうか。 私は後者だと思うのです。  この考え方は間違っているのでしょうか？  正直、私は彼の顔も見たくありません。 息子が生まれた時、一応血縁なので知らせたところ産院に来ました。それから退院まで毎日来られ、私の心はボロボロになりました。顔も見たくないし無責任ヤツ会いたくなくて、父親ヅラされたくなくて、ただでさえ産後でデリケートな時期に毎日顔を合わせるなんて本当にシンドくて。最終的には面会拒否しました。 それくらい嫌で、退院した後は一切連絡なかったので清々しい気持ちで過ごしていたところにこうなりました。  彼が帰った後、２人で会いたいと言われたので、 今の私の気持ちと散々無責任な行動をした彼の言葉や考えをもう一度改めて考えて、身辺整理もしてから、それでも気持ちが変わらないなら春にまた連絡をしてくれとを綴った長文のLINEを送りました。  彼は気持ちは変わらないけど春にまた連絡すると言っていました。 私は春に連絡をもらってもやっぱり一緒になりたくありません。 彼は自己中すぎではないでしょうか？ 私の気持ちが母親として幼いのでしょうか？ 息子のためを思ったら復縁した方が良いのでしょうか？ 正直シングルでも母親がいつも笑顔で子どものことを愛していれば子どもは幸せだと思うのです。 これは私のエゴなのでしょうか？   最後まで読んでくれた方、ありがとうございます。 まとまりのない、色々飛び散った乱文で分かりづらかったと思いますが読んでくださった方はどう思いましたか？ 息子の人生がかかったことなので色々な方の意見が聞きたいと思い投稿させていただきました。 なかなかある事ではないと思いますが良ければご意見聞かせてください。 誹謗中傷はご遠慮ください。 よろしくお願いいたします。,0,1,1,1,1,1,1
4,6439890.0,0.0,明けましておめでとうございます！！ 私の年明けは、娘が起きた為、添い乳授乳でした笑。 皆さんにとって良い年でありますように❤️,0,0,1,1,0,1,0
5,6439892.0,0.0,新年早々愚痴になります。 旦那が手を洗いません。 先程もホタテの刺身といくらを食べ、こぼして手で食べており、口の中に何か引っかかったのか指をいれたあと、そのまま子どもの手を触りました。 お酒も飲んでいるし、生物を食べたり触ったりしているので危険かと思いすぐに子どもの手を洗ったら、俺をばい菌扱いしやがって、お前らにはもう一生関わらない、お前のそういうところが気持ち悪いんだよと言われました。 流石に生物を触った手ではと言いかけたところで、知らねえよと怒鳴られ、そのまま酔っ払って寝ています。 私が気にしすぎなのでしょうか？,0,1,0,1,0,1,0
6,6439894.0,0.0,大晦日に旦那にイライラしたーー  今日くらいは起きてる😆？と娘に言い(普段は20時半就寝)、娘も乗り気。 結局娘はママママ～と構ってオーラ全開。 旦那も積極的に遊んではいたけど合間にテレビやらスマホやら。そしてまたママ～と。 いつもならやっとゆっくり出来る時間なのにお前が起こしてたんだろ！ずっと相手してやれよ😫とイライラ。  結局ソファで私が絵本読んでたら寝た娘。 可哀想な事したなぁ… 寝かしつけが完全私だった去年までは強制的に娘寝室に連れてってたけど最近は夫婦で寝かせてた事もあって強く言えず。  そして旦那も年越し前にソファで寝てるし。イラッ！！笑,0,1,0,1,0,1,0
7,6439908.0,0.0,都内で中古のマンションを購入して数ヶ月です。 入居したときからわりと上下の音が聞こえます。。扉を閉める音、足音が聞こえることもあります。声は聞こえたことは無かったのですが、今日は大晦日ということもあり、さわいでいる声がお隣から聞こえてきました。 小さい子供が自分にもいるのでおなじくらい迷惑かけているかとおもいますが、やはりマンションの防音レベルってそんなものなのでしょうか。 お隣も上下も非常識なことはなく、普通の生活をしていると思います。（大晦日の騒ぎは多少仕方ないかな） ローン組んで頑張って買ったのに悲しくなります。どうしようもないマンションを買ってしまったのかな。。 共働きなので管理は誰かにしてほしいし、腰痛持ちなので、戸建ては考えませんでした。 お高いマンションシリーズなんかにしてたら違ったのかなぁと後悔しています。　 旦那に相談したら、そんなに嫌なら出て行けばと言われました。 マンションに住むなら、我慢すべきなのでしょうか。 同じような悩みをお持ちの方、また、乗り越えた方、コメントいただけたらうれしいです。 神経質な性格はやっかいで、なかなか旦那含め周りにわかってもらえないです。,0,1,0,1,0,1,0
8,6439920.0,0.0,夜の授乳間隔どれくらいですか？  生後2ヶ月。もうすぐ3ヶ月になる娘がいます。 最近、生後2ヶ月過ぎてからか夜グッと寝てくれるようになり4〜5時間通して寝てくれること増えました。 大体、21時から22時くらいに就寝→2時から3時くらいに一度オムツ汚れてるため起きます。その後、授乳するのですが、その前の授乳が20時前後のことが多く、6時間くらい空いてしまいます。 脱水とかも心配ですが、無理に起こして飲ませるかそのまま起きるまでそっとしとくか悩んでます。  みなさんどうされてますか？,0,0,1,1,0,0,0
9,6439928.0,0.0,田舎の長男嫁。どんな感じですか？？  結婚3年目です。子供1人います。 旦那は長男です。姉もおり、結婚しています。 私と旦那は義実家から2時間程離れています。  義実家は  本当に田舎です。 猪や鹿います。 この前びっくりしたのが、旦那の祖父の三回忌 でした。家に住職さんが来てお経を唱えて 住職さんたちと14時〜18時まで食事でワイワイ... 女性陣たちはせっせとご飯作り。 住職さんと男性陣は酔っ払っている...  そして義母は 嫁は嫁いだら、朝5時に起き皆の弁当作り&朝食作り そして皆を起こすのよ。最近の嫁は甘えてる。 発言...絶対無理だと感じました。  将来絶対田舎に住みたくないし介護したくないです。 今後旦那の仕事の都合でもっと離れた所に住みます。 マイホームを建てて、共働きで返済していくつもりです。 もし、田舎に住んで介護になるくらいなら離婚したいです😂  田舎の人と結婚した方。 どんな感じですか？？,0,1,0,1,0,1,1
